"FullName","Length","Extension","LastWriteTime"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\layout\Navbar.tsx","6807",".tsx","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\COMPONENTS.md","6510",".md","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\pack\pack-5e9733a6d4bdfe25a0f3a9165a0b669b4c51da41.idx","6056",".idx","16/09/2026 04:58:44 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\FINAL_IMPLEMENTATION_REPORT.md","5569",".md","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\3b\42daf42d7497629922c89090f1662080638cff","5465","","16/09/2026 06:54:06 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\GOVERNANCE.md","5435",".md","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\WORK_PLAN.md","5380",".md","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\REFRACTOR_VALIDATION_REPORT.md","5172",".md","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\MAP.md","5104",".md","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\engine_test.go","5063",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\P0_EXECUTION_REPORT.md","5025",".md","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\pre-rebase.sample","4898",".sample","16/09/2026 04:58:42 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\fsmonitor-watchman.sample","4726",".sample","16/09/2026 04:58:42 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\operations_test.go","4430",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\workbench\TechnicianWorkbench.tsx","4176",".tsx","16/09/2026 06:36:21 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ARCHITECTURE_REFACTOR_REPORT.md","4072",".md","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\security_test.go","3929",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\update.sample","3650",".sample","16/09/2026 04:58:42 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\executor.go","3534",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\SITEMAP.md","3501",".md","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\main.go","3423",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\PROJECTS.md","3278",".md","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\verify_test.go","3080",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\compensation_test.go","2919",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\a0\271076f1c0363ecc6c85b9eea3ce1140fc8944","2892","","16/09/2026 06:54:07 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\push-to-checkout.sample","2783",".sample","16/09/2026 04:58:42 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\CONFORMANCE_MATRIX.md","2712",".md","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\restore.go","2623",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\file_clean.go","2563",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\sendemail-validate.sample","2308",".sample","16/09/2026 04:58:42 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\crypto_test.go","2299",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ledger.go","2296",".go","16/09/2026 05:26:56 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\internal\ledger\ledger.go","2179",".go","16/09/2026 05:37:11 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\core\app.go","2172",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\README.md","2150",".md","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\backup.go","2109",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\EVIDENCE.md","2044",".md","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\ef\5d68265bc74cc46fef691cbd3cb8d8e879d7cc","2027","","16/09/2026 06:54:09 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\68\7a0d998644554e893ae0b76f49cd3c9cbb7137","1955","","16/09/2026 06:15:09 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\verify.go","1936",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\internal\security\path_validator.go","1754",".go","16/09/2026 06:32:30 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\signing.go","1733",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\pre-commit.sample","1649",".sample","16/09/2026 04:58:42 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\chain.go","1633",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\82\e43a7b1253a8cbc1f187368edad5d2d562affc","1568","","16/09/2026 06:54:07 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\file_observe.go","1498",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\prepare-commit-msg.sample","1492",".sample","16/09/2026 04:58:42 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\internal\security\path_validator_test.go","1417",".go","16/09/2026 06:32:30 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\pre-push.sample","1374",".sample","16/09/2026 04:58:42 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\HISTORIAL DE ACTIVIDADES.MD","1320",".MD","16/09/2026 06:40:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\keys.go","1310",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\logs\refs\remotes\origin\HEAD","1303","","16/09/2026 06:54:53 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\plan.go","1249",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\internal\security\orderValidator.ts","1219",".ts","16/09/2026 06:33:58 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\07\4b9ed8a1a6cbd8843909cccd82b124b38cf8bf","1051","","16/09/2026 06:15:08 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ledger_test.go","1027",".go","16/09/2026 05:26:56 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\go.sum","1001",".sum","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\30\d12fc766730f50d007f46d06e2c4db2ab222be","972","","16/09/2026 06:15:07 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\internal\ledger\ledger_test.go","924",".go","16/09/2026 05:37:12 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\ledger_view.go","920",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\commit-msg.sample","896",".sample","16/09/2026 04:58:42 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\plans_view.go","840",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\orderValidator.ts","789",".ts","16/09/2026 06:52:35 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\10\1bca3d991bd7ec8ce6b99cf07f106dfa8cdd34","772","","16/09/2026 06:15:07 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\55\1e85e0a547605f0b8d8b2dd49014e439a6df74","765","","16/09/2026 06:54:06 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\pack\pack-5e9733a6d4bdfe25a0f3a9165a0b669b4c51da41.rev","764",".rev","16/09/2026 04:58:44 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\b9\361f2ea7e430f8b29e05fd48bbb62fd913d5b1","760","","16/09/2026 06:54:07 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\policy.go","683",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\tsconfig.json","650",".json","16/09/2026 06:37:40 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\9d\2b7ea64f256828bebdf3f414ea4877a6bd6f04","623","","16/09/2026 06:15:08 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\hashing.go","603",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\ff\6570e19713773264da02a052a992d580f101dc","593","","16/09/2026 06:54:07 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\a6\773e9154c55685ebef557077e92c6d6269dcbc","590","","16/09/2026 06:54:07 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\7f\f8a977039a6b9fb7f1c34219efa3a2aa62a3a5","553","","16/09/2026 06:15:08 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\pre-receive.sample","544",".sample","16/09/2026 04:58:42 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\app.go","517",".go","16/09/2026 04:58:45 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\package.json","509",".json","16/09/2026 06:52:33 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\15\70d01030015527f01ac4357a2e5cf4470765b0","498","","16/09/2026 06:15:07 p. m."
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\applypatch-msg.sample","478",".sample","16/09/2026 04:58:42 p. m."
