"File","Extension","Lines"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\verify.go",".go","69"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\verify_test.go",".go","89"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\vite.config.ts",".ts","1"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\WORK_PLAN.md",".md","92"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\core\app.go",".go","50"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\core\compensation.go",".go","0"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\core\contracts.go",".go","0"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\core\engine.go",".go","0"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\core\ledger.go",".go","0"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\core\signature.go",".go","0"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\internal\ledger\ledger.go",".go","86"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\internal\ledger\ledger_test.go",".go","43"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\internal\security\orderValidator.ts",".ts","36"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\internal\security\path_validator.go",".go","56"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\internal\security\path_validator_test.go",".go","59"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\node_modules\typescript\lib\_tsserver.js",".js","0"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\index.css",".css","0"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\audit\AuditLogViewer.tsx",".tsx","180"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\certification\E2ECertificationModal.tsx",".tsx","243"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\dashboard\ExecutiveDashboard.tsx",".tsx","366"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\device-lab\DeviceLab.tsx",".tsx","339"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\inventory\InventoryManager.tsx",".tsx","233"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\layout\Navbar.tsx",".tsx","163"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\layout\Sidebar.tsx",".tsx","211"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\orders\OrderLifecycleView.tsx",".tsx","1373"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\orders\OrderList.tsx",".tsx","227"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\portal\CustomerPortalModal.tsx",".tsx","214"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\quality\QualityControlView.tsx",".tsx","245"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\workbench\TechnicianWorkbench.tsx",".tsx","109"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\context\RepairerContext.tsx",".tsx","1228"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\data\seedData.ts",".ts","824"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\types\repairer.ts",".ts","357"
