"FullName","Length","CreationTime","LastWriteTime","Extension"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\SECURITY.md","8373","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".md"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\security_test.go","3929","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\signing.go","1733","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\SITEMAP.md","3501","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".md"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\TESTING.md","7185","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".md"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\tsconfig.json","650","16/09/2026 04:58:45 p. m.","16/09/2026 06:37:40 p. m.",".json"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\validation.go","303","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\verify.go","1936","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\verify_test.go","3080","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\vite.config.ts","2","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".ts"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\WORK_PLAN.md","5380","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".md"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\COMMIT_EDITMSG","2","16/09/2026 06:15:09 p. m.","16/09/2026 06:54:09 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\config","365","16/09/2026 05:01:15 p. m.","16/09/2026 05:01:15 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\description","73","16/09/2026 04:58:42 p. m.","16/09/2026 04:58:42 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\FETCH_HEAD","105","16/09/2026 05:04:05 p. m.","16/09/2026 06:54:53 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\HEAD","21","16/09/2026 04:58:44 p. m.","16/09/2026 04:58:44 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\index","8531","16/09/2026 06:54:08 p. m.","16/09/2026 06:54:09 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\packed-refs","112","16/09/2026 04:58:44 p. m.","16/09/2026 04:58:44 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\applypatch-msg.sample","478","16/09/2026 04:58:42 p. m.","16/09/2026 04:58:42 p. m.",".sample"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\commit-msg.sample","896","16/09/2026 04:58:42 p. m.","16/09/2026 04:58:42 p. m.",".sample"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\fsmonitor-watchman.sample","4726","16/09/2026 04:58:42 p. m.","16/09/2026 04:58:42 p. m.",".sample"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\post-update.sample","189","16/09/2026 04:58:42 p. m.","16/09/2026 04:58:42 p. m.",".sample"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\pre-applypatch.sample","424","16/09/2026 04:58:42 p. m.","16/09/2026 04:58:42 p. m.",".sample"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\pre-commit.sample","1649","16/09/2026 04:58:42 p. m.","16/09/2026 04:58:42 p. m.",".sample"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\pre-merge-commit.sample","416","16/09/2026 04:58:42 p. m.","16/09/2026 04:58:42 p. m.",".sample"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\pre-push.sample","1374","16/09/2026 04:58:42 p. m.","16/09/2026 04:58:42 p. m.",".sample"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\pre-rebase.sample","4898","16/09/2026 04:58:42 p. m.","16/09/2026 04:58:42 p. m.",".sample"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\pre-receive.sample","544","16/09/2026 04:58:42 p. m.","16/09/2026 04:58:42 p. m.",".sample"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\prepare-commit-msg.sample","1492","16/09/2026 04:58:42 p. m.","16/09/2026 04:58:42 p. m.",".sample"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\push-to-checkout.sample","2783","16/09/2026 04:58:42 p. m.","16/09/2026 04:58:42 p. m.",".sample"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\sendemail-validate.sample","2308","16/09/2026 04:58:42 p. m.","16/09/2026 04:58:42 p. m.",".sample"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\update.sample","3650","16/09/2026 04:58:42 p. m.","16/09/2026 04:58:42 p. m.",".sample"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\info\exclude","240","16/09/2026 04:58:42 p. m.","16/09/2026 04:58:42 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\logs\HEAD","466","16/09/2026 04:58:44 p. m.","16/09/2026 06:54:09 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\logs\refs\heads\main","466","16/09/2026 04:58:44 p. m.","16/09/2026 06:54:09 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\logs\refs\remotes\origin\HEAD","1303","16/09/2026 04:58:44 p. m.","16/09/2026 06:54:53 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\logs\refs\remotes\origin\main","286","16/09/2026 06:15:30 p. m.","16/09/2026 06:54:14 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\02\ed9794d65ab98fbb0f603b35155be1112773c6","249","16/09/2026 06:54:07 p. m.","16/09/2026 06:54:07 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\07\4b9ed8a1a6cbd8843909cccd82b124b38cf8bf","1051","16/09/2026 06:15:08 p. m.","16/09/2026 06:15:08 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\10\1bca3d991bd7ec8ce6b99cf07f106dfa8cdd34","772","16/09/2026 06:15:07 p. m.","16/09/2026 06:15:07 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\10\42cb5774ca6c0bfadd1d190a598c7fc3b75329","178","16/09/2026 06:15:09 p. m.","16/09/2026 06:15:09 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\11\6559856048bb13553c18305b533cdf4dd08250","395","16/09/2026 06:54:07 p. m.","16/09/2026 06:54:07 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\15\70d01030015527f01ac4357a2e5cf4470765b0","498","16/09/2026 06:15:07 p. m.","16/09/2026 06:15:07 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\17\1bb4189cc534a0acdd498777e8458649a916cf","148","16/09/2026 06:54:09 p. m.","16/09/2026 06:54:09 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\1a\a91dde42a7fcc0d599f54e2a4f041e3d4c0cf3","80","16/09/2026 06:54:08 p. m.","16/09/2026 06:54:08 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\21\c9bd6f70f18147aa2c14a159a81f136487f4ee","337","16/09/2026 06:15:09 p. m.","16/09/2026 06:15:09 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\30\d12fc766730f50d007f46d06e2c4db2ab222be","972","16/09/2026 06:15:07 p. m.","16/09/2026 06:15:07 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\37\d43bf6e61c02afd645485da695fd6feba2aa97","146","16/09/2026 06:15:09 p. m.","16/09/2026 06:15:09 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\39\ffb684bd0a65c1f8b0ee6e9b0d73fa62e4a659","56","16/09/2026 06:54:08 p. m.","16/09/2026 06:54:08 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\3b\42daf42d7497629922c89090f1662080638cff","5465","16/09/2026 06:54:06 p. m.","16/09/2026 06:54:06 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\55\1e85e0a547605f0b8d8b2dd49014e439a6df74","765","16/09/2026 06:54:06 p. m.","16/09/2026 06:54:06 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\57\7b056a2eea93fb3a9f0332f3b173d2878c6920","56","16/09/2026 06:15:09 p. m.","16/09/2026 06:15:09 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\59\39ad9c5ba043cd6196dadcae4e618af1b03e76","360","16/09/2026 06:54:07 p. m.","16/09/2026 06:54:07 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\67\6408c486920a5157fa9881db10ebb932582786","84","16/09/2026 06:15:09 p. m.","16/09/2026 06:15:09 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\68\7a0d998644554e893ae0b76f49cd3c9cbb7137","1955","16/09/2026 06:15:09 p. m.","16/09/2026 06:15:09 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\7f\f8a977039a6b9fb7f1c34219efa3a2aa62a3a5","553","16/09/2026 06:15:08 p. m.","16/09/2026 06:15:08 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\82\e43a7b1253a8cbc1f187368edad5d2d562affc","1568","16/09/2026 06:54:07 p. m.","16/09/2026 06:54:07 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\87\84be8cb2730e51436c3b365b5c046856a9aeb0","92","16/09/2026 06:15:09 p. m.","16/09/2026 06:15:09 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\8f\f25ad19c583f5568afd15692e876e06cbba355","68","16/09/2026 06:54:08 p. m.","16/09/2026 06:54:08 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\9d\2b7ea64f256828bebdf3f414ea4877a6bd6f04","623","16/09/2026 06:15:08 p. m.","16/09/2026 06:15:08 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\a0\271076f1c0363ecc6c85b9eea3ce1140fc8944","2892","16/09/2026 06:54:07 p. m.","16/09/2026 06:54:07 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\a6\773e9154c55685ebef557077e92c6d6269dcbc","590","16/09/2026 06:54:07 p. m.","16/09/2026 06:54:07 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\b9\361f2ea7e430f8b29e05fd48bbb62fd913d5b1","760","16/09/2026 06:54:07 p. m.","16/09/2026 06:54:07 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\cd\5357226df8ad72420693cc7c8ba315e6c09c72","338","16/09/2026 06:54:08 p. m.","16/09/2026 06:54:08 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\da\09add832538c75c8d65b939ea5f4aa677bdc8a","129","16/09/2026 06:54:08 p. m.","16/09/2026 06:54:08 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\ef\5d68265bc74cc46fef691cbd3cb8d8e879d7cc","2027","16/09/2026 06:54:09 p. m.","16/09/2026 06:54:09 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\f1\1c4cf75872077f4430e2eb3281cf35b6af59e7","80","16/09/2026 06:15:09 p. m.","16/09/2026 06:15:09 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\f7\8bd48d1a284372f2020742c6a1ab2ad2c83c17","178","16/09/2026 06:54:09 p. m.","16/09/2026 06:54:09 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\ff\6570e19713773264da02a052a992d580f101dc","593","16/09/2026 06:54:07 p. m.","16/09/2026 06:54:07 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\pack\pack-5e9733a6d4bdfe25a0f3a9165a0b669b4c51da41.idx","6056","16/09/2026 04:58:44 p. m.","16/09/2026 04:58:44 p. m.",".idx"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\pack\pack-5e9733a6d4bdfe25a0f3a9165a0b669b4c51da41.pack","176092","16/09/2026 04:58:44 p. m.","16/09/2026 06:15:07 p. m.",".pack"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\pack\pack-5e9733a6d4bdfe25a0f3a9165a0b669b4c51da41.rev","764","16/09/2026 04:58:44 p. m.","16/09/2026 04:58:44 p. m.",".rev"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\refs\heads\main","41","16/09/2026 06:54:09 p. m.","16/09/2026 06:54:09 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\refs\remotes\origin\HEAD","30","16/09/2026 06:54:53 p. m.","16/09/2026 06:54:53 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\refs\remotes\origin\main","41","16/09/2026 06:54:14 p. m.","16/09/2026 06:54:14 p. m.",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\core\app.go","2172","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\core\compensation.go","0","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\core\contracts.go","0","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\core\engine.go","0","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\core\ledger.go","0","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\core\signature.go","0","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\internal\ledger\ledger.go","2179","16/09/2026 05:36:52 p. m.","16/09/2026 05:37:11 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\internal\ledger\ledger_test.go","924","16/09/2026 05:36:52 p. m.","16/09/2026 05:37:12 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\internal\security\orderValidator.ts","1219","16/09/2026 06:33:55 p. m.","16/09/2026 06:33:58 p. m.",".ts"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\internal\security\path_validator.go","1754","16/09/2026 05:42:27 p. m.","16/09/2026 06:32:30 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\internal\security\path_validator_test.go","1417","16/09/2026 05:42:27 p. m.","16/09/2026 06:32:30 p. m.",".go"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\node_modules\typescript\lib\_tsserver.js","0","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".js"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\index.css","0","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".css"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\audit\AuditLogViewer.tsx","8587","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".tsx"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\certification\E2ECertificationModal.tsx","12198","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".tsx"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\dashboard\ExecutiveDashboard.tsx","17826","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".tsx"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\device-lab\DeviceLab.tsx","15397","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".tsx"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\inventory\InventoryManager.tsx","11193","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".tsx"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\layout\Navbar.tsx","6807","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".tsx"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\layout\Sidebar.tsx","7614","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".tsx"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\orders\OrderLifecycleView.tsx","68028","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".tsx"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\orders\OrderList.tsx","10011","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".tsx"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\portal\CustomerPortalModal.tsx","10373","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".tsx"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\quality\QualityControlView.tsx","10828","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".tsx"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\workbench\TechnicianWorkbench.tsx","4176","16/09/2026 04:58:45 p. m.","16/09/2026 06:36:21 p. m.",".tsx"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\context\RepairerContext.tsx","45276","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".tsx"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\data\seedData.ts","33998","16/09/2026 04:58:45 p. m.","16/09/2026 04:58:45 p. m.",".ts"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\types\repairer.ts","8684","16/09/2026 04:58:45 p. m.","16/09/2026 06:52:36 p. m.",".ts"
