"File","SHA256","Size","Status","Error"
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\registry.go","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","0","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\REQUIREMENTS.md","1BFD3990CAD46B56A75EA9594D968BE87A185E2FD7C5E2A0EC38447A1C6DEB62","16191","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\restore.go","F046F237333EF051CD48AF42DF11ED39D08A78C253D2B47AFE97D28904C9BD65","2623","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\risk.go","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","0","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\SECURITY.md","0FC85CBF2EF4770BB8323B4DAB9D64AC12EEA19B4733ED995048D61EE18024ED","8373","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\security_test.go","A46AB43F3255EB68929702A41980A25313BE14D7438EF1A1C051746CD46DCD56","3929","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\signing.go","93AA42E30235F24F428C8801B2B64D4DE532129B95DC2B2C85246177336607DB","1733","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\SITEMAP.md","D0030806431921647EDB92F8808B6235ED99C1A64BBE6140933F25D9671CAAB6","3501","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\TESTING.md","2CC42E9A9C917EC3660EA97152DC8D0A52F78D584CB68256CB3274EB8F4967F7","7185","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\tsconfig.json","FE1976E0CCBE76A7023FAA2BE37A4A42310B05414991992AC5D84CA527BF2DF4","650","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\validation.go","1D96B892FDD5D37065F635D88D9387FD58AE1AAA6C5E7292A0E91C622445DAD9","303","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\verify.go","38EC4449AEFF5036F2DA571022E9A981EA755C90B7FE5BA7CC2139C0764EF23F","1936","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\verify_test.go","8279C871A4875402BE4C935AA71EEA4C62F0F46E08A264D18802BFAA6FD06722","3080","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\vite.config.ts","7EB70257593DA06F682A3DDDA54A9D260D4FC514F645237F5CA74B08F8DA61A6","2","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\WORK_PLAN.md","6CCAC0F0EF8FC51BA7F98E3EEE54504B727472F623FD2B608561ABC7C0BB07CF","5380","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\COMMIT_EDITMSG","06E9D52C1720FCA412803E3B07C4B228FF113E303F4C7AB94665319D832BBFB7","2","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\config","4511D4F6839F3FF794EE349FD2C2AD5E86B63845A956EFB189E287DF85C06AE1","365","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\description","85AB6C163D43A17EA9CF7788308BCA1466F1B0A8D1CC92E26E9BF63DA4062AEE","73","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\FETCH_HEAD","F3EC6301EBE56D46EE37FD4BB85991C118C1A07ACEFE1BDC0135DB69B1CDD3B7","105","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\HEAD","28D25BF82AF4C0E2B72F50959B2BEB859E3E60B9630A5E8C603DAD4DDB2B6E80","21","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\index","284C915C525E367F1024EACFF2069F1F4C7560379D8E82A0BC37DD5CA37ED03E","8531","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\packed-refs","E9780DA537694DA87D4784A4F9736FBB5147ACB6F1BC0EC5F40EF2FD95F9E2A7","112","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\applypatch-msg.sample","0223497A0B8B033AA58A3A521B8629869386CF7AB0E2F101963D328AA62193F7","478","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\commit-msg.sample","1F74D5E9292979B573EBD59741D46CB93FF391ACDD083D340B94370753D92437","896","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\fsmonitor-watchman.sample","E0549964E93897B519BD8E333C037E51FFF0F88BA13E086A331592BF801FA1D0","4726","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\post-update.sample","81765AF2DAEF323061DCBC5E61FC16481CB74B3BAC9AD8A174B186523586F6C5","189","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\pre-applypatch.sample","E15C5B469EA3E0A695BEA6F2C82BCF8E62821074939DDD85B77E0007FF165475","424","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\pre-commit.sample","57185B7B9F05239D7AB52DB045F5B89EB31348D7B2177EAB214F5EB872E1971B","1649","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\pre-merge-commit.sample","D3825A70337940EBBD0A5C072984E13245920CDF8898BD225C8D27A6DFC9CB53","416","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\pre-push.sample","ECCE9C7E04D3F5DD9D8ADA81753DD1D549A9634B26770042B58DDA00217D086A","1374","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\pre-rebase.sample","4FEBCE867790052338076F4E66CC47EFB14879D18097D1D61C8261859EAAA7B3","4898","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\pre-receive.sample","A4C3D2B9C7BB3FD8D1441C31BD4EE71A595D66B44FCF49DDB310252320169989","544","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\prepare-commit-msg.sample","E9DDCAA4189FDDD25ED97FC8C789ECA7B6CA16390B2392AE3276F0C8E1AA4619","1492","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\push-to-checkout.sample","A53D0741798B287C6DD7AFA64AEE473F305E65D3F49463BB9D7408EC3B12BF5F","2783","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\sendemail-validate.sample","44EBFC923DC5466BC009602F0ECF067B9C65459ABFE8868DDC49B78E6CED7A92","2308","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\hooks\update.sample","8D5F2FA83E103CF08B57EAA67521DF9194F45CBDBCB37DA52AD586097A14D106","3650","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\info\exclude","6671FE83B7A07C8932EE89164D1F2793B2318058EB8B98DC5C06EE0A5A3B0EC1","240","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\logs\HEAD","63C7CC5D12C3922084D443F5CE0FD5426ABD8A1680FA0DF15E89BF6055CAA8B1","466","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\logs\refs\heads\main","63C7CC5D12C3922084D443F5CE0FD5426ABD8A1680FA0DF15E89BF6055CAA8B1","466","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\logs\refs\remotes\origin\HEAD","9BF61763911D23732C0A2B4A0BC5331202F1234BBAD6292298504CA844F1C28C","1303","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\logs\refs\remotes\origin\main","1CD44396DC102FE13CCB0D973C3BAEAAF1F2A6114F3A886766E34FD21534915C","286","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\02\ed9794d65ab98fbb0f603b35155be1112773c6","F58B973FA3E7A13070CC5053FEAF0290FBC8430F8B47E40EE0D8F17932E37477","249","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\07\4b9ed8a1a6cbd8843909cccd82b124b38cf8bf","47A80FE477808A2406CCA3D649BFE9797689E7157307192523E1763C6451176C","1051","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\10\1bca3d991bd7ec8ce6b99cf07f106dfa8cdd34","CBDAD74E4550E13271D71D140CA6B1B0DEFB75E207A2027609700E91D13E3839","772","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\10\42cb5774ca6c0bfadd1d190a598c7fc3b75329","E5955363C167AEFA54838992AA44ED5CBE0BA791AD5E9B1A154CC17D0E1BF790","178","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\11\6559856048bb13553c18305b533cdf4dd08250","E73EFD897F5DF4796EAA618200FB744B4108F23BD0B401B9D545F61885A587C8","395","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\15\70d01030015527f01ac4357a2e5cf4470765b0","0EAAF5D66E7F1396C6B5D8364ADB41AED8386F0B44E9B3BC6AD944EE4663E87D","498","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\17\1bb4189cc534a0acdd498777e8458649a916cf","2F45DED9847A509F2E566BA6945AC9861BBBB5C3BDE7395EB56791BB648D4CA3","148","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\1a\a91dde42a7fcc0d599f54e2a4f041e3d4c0cf3","09FA0FC2E94A6F4BA727BDD96AA03584DFED5FF6273007218569723B889E22B0","80","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\21\c9bd6f70f18147aa2c14a159a81f136487f4ee","C95A2D58E60204B7E562FE57407372813A23EDDF443B3C07F4C4571F79B0F423","337","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\30\d12fc766730f50d007f46d06e2c4db2ab222be","86792898F730B6674FF1A4D1F4BD78C1D2026E4B357A188C3AC89B42EED44334","972","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\37\d43bf6e61c02afd645485da695fd6feba2aa97","E9ED8EA274EB146C957485484AE13BCD94AFC6876E2635BAAB844B1A1B450AC1","146","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\39\ffb684bd0a65c1f8b0ee6e9b0d73fa62e4a659","C82EA84608F118C4980D6DCCB5D3D2182C5315DD3E0081B4446788A44703F660","56","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\3b\42daf42d7497629922c89090f1662080638cff","537846A8421CF8E432D25C857591998A7B11D7E4B5FA75CC132D389931C72151","5465","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\55\1e85e0a547605f0b8d8b2dd49014e439a6df74","ED6D4784FFBE5CC0A1519B87970F040B105FF5CE46081261E2FDC2491FABE2BE","765","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\57\7b056a2eea93fb3a9f0332f3b173d2878c6920","A1E8A0D0162CD820C2C7807C1659F11B6D43E82BD02FC12866FE434778DF872E","56","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\59\39ad9c5ba043cd6196dadcae4e618af1b03e76","0E999007F2E5E6F041445AF31B85B3EC66AD1E0618CDDF189AB0B71550BB22A2","360","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\67\6408c486920a5157fa9881db10ebb932582786","F645FAFF251EBC889BBE9096C5AB099B26DCFA492DA182A40E243709563A1DC7","84","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\68\7a0d998644554e893ae0b76f49cd3c9cbb7137","EAC5E891810F66B70A165DAAABFA9B0CF3E403A54C6A2661210BF8B80FE8C489","1955","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\7f\f8a977039a6b9fb7f1c34219efa3a2aa62a3a5","DC2EFACC7B751C15FC31E418F3141D478EDA2171CD818C277D51F4A741BB0031","553","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\82\e43a7b1253a8cbc1f187368edad5d2d562affc","6B0F25E4B95A657A341ED0A8CBEE51A52C5E8EC6028883F227C15861F8532757","1568","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\87\84be8cb2730e51436c3b365b5c046856a9aeb0","944589D9CCBC2BBF761FC377A9CF32C14A516A79BE57AFFC8F58C3B892A7F7C5","92","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\8f\f25ad19c583f5568afd15692e876e06cbba355","4DAA0E9BBEF62C24EE3E76539FFDF6DB2B80FEC57414775C0B931F9C1FBA3D43","68","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\9d\2b7ea64f256828bebdf3f414ea4877a6bd6f04","FA0FC6CA0055876E4A93E69AD0DD38F98296BBF36793B710B8F67095FCD0E3DA","623","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\a0\271076f1c0363ecc6c85b9eea3ce1140fc8944","8CDA9F0473C7A2F66D22CAF66CB3272D9733CE40D0199FDE7FCC98878EFE3902","2892","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\a6\773e9154c55685ebef557077e92c6d6269dcbc","C949B1C643C4B03F39C2D37EDFAC306509E179DC0BD5F0459D03260ED2C7A6D7","590","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\b9\361f2ea7e430f8b29e05fd48bbb62fd913d5b1","DDD96278EE12AEA1F8A2828A504000EDDB5F32300EFE660446BD2BE1783CE5A6","760","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\cd\5357226df8ad72420693cc7c8ba315e6c09c72","FAEA602A6BCB22D7FDF7FD8CCB8E9F158CFE78A0C0176648815A91571F7250BD","338","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\da\09add832538c75c8d65b939ea5f4aa677bdc8a","3EF7DFAD11E47CB051C952613064F7C21E9ABCD3C73D2578A21AE5CAE9BC08BC","129","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\ef\5d68265bc74cc46fef691cbd3cb8d8e879d7cc","FC671DFC0015A58F4BFA758F094FDECBE0E29E389735A6855E97EF24615C253D","2027","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\f1\1c4cf75872077f4430e2eb3281cf35b6af59e7","C58BBE4167060530F26BB84345616D429C64210EF5C465BF2434B3843E875210","80","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\f7\8bd48d1a284372f2020742c6a1ab2ad2c83c17","615547E03B11174A7037F9AD2FDA0BABFCD5A291A1BBFB51E5FB3EAAA65A7470","178","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\ff\6570e19713773264da02a052a992d580f101dc","27B53C3B0E7686C98F50905085B11686050136AFFF68C10473EB6E3E9512ED48","593","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\pack\pack-5e9733a6d4bdfe25a0f3a9165a0b669b4c51da41.idx","27ECAF77787E440A8258F1F6008715699C65D3118E6E1BA0A629C34AAF39DF8B","6056","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\pack\pack-5e9733a6d4bdfe25a0f3a9165a0b669b4c51da41.pack","54E9EA9DC26B217DD736B2A309483FEE6ED09CF3841CAF473FD88FFD26DC19FF","176092","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\objects\pack\pack-5e9733a6d4bdfe25a0f3a9165a0b669b4c51da41.rev","96B3F18CC82C5B8D15C9E34002590FB29E7ADFB30CDFFF45A3DFEB41DBBA84FA","764","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\refs\heads\main","15A8FADC9BD49E773D7045A953C684160EEF35BC4699D9CA347D180EBFE82368","41","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\refs\remotes\origin\HEAD","2BB6A24AA0FC6C484100F5D51A29BBAD841CD2C755F5D93FAA204E5DBB4EB2B4","30","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\.git\refs\remotes\origin\main","15A8FADC9BD49E773D7045A953C684160EEF35BC4699D9CA347D180EBFE82368","41","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\core\app.go","21C328DF3C9980F19A6CAE70F5F392D4071DD93BBDD549F832D0BA52A0FD04C3","2172","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\core\compensation.go","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","0","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\core\contracts.go","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","0","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\core\engine.go","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","0","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\core\ledger.go","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","0","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\core\signature.go","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","0","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\internal\ledger\ledger.go","B835D2F25C32ABFE330F19EAFB152EF9F9FD1CCAD95F552A10145C9410BF4691","2179","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\internal\ledger\ledger_test.go","678E9223CE8B5206EB13D32868C66DE4A6527BCE9F4F172BC8CB8EDBA6C795C9","924","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\internal\security\orderValidator.ts","CFD8C39CE79D6FCA96AEB480291889D103168BDCBA56ED45C8B506C62A6FC172","1219","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\internal\security\path_validator.go","23445BB3D876AB59C87DC78CF89EDDF7B68A279BDC2E2BB1DAA8FCE8A9A42CDA","1754","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\internal\security\path_validator_test.go","D86AED6D5D594C6AC3D52CA4C8E34D8351377CB97EF23DC9145C4BD0232BA59E","1417","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\node_modules\typescript\lib\_tsserver.js","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","0","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\index.css","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","0","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\audit\AuditLogViewer.tsx","332E1B84BF5AC03D9AF76982FFA9D81CF3EE467E568611AF2CC101A03AEDD4E8","8587","OK",""
"Y:\Documentos\GitHub\REPAIRER_by_KLIK\src\components\certification\E2ECertificationModal.tsx","0A70BFADBB09FEE336E9D9BDC3A1383D57E840C9EB4D874DE55C9962DD881038","12198","OK",""
